Student Info,Student Info,Adapt Classroom Instruction,Adapt Classroom Instruction,Adapt Classroom Instruction,Adapt Classroom Instruction,Adapt Classroom Instruction,Adapt Classroom Instruction,Adapted or Additional Materials,Adapted or Additional Materials,Adapted or Additional Materials,Adapted or Additional Materials,Adapted or Additional Materials,Adapted or Additional Materials,Alter Assignments or Testing,Alter Assignments or Testing,Alter Assignments or Testing,Alter Assignments or Testing,Alter Assignments or Testing,Alter Assignments or Testing,Alter Testing,Alter Testing,Manage Behavior,Manage Behavior,Manage Behavior,Manage Behavior,Manage Behavior,Manage Behavior,Manage Behavior,Manage Behavior,Manage Behavior,Manage Behavior,Manage Behavior,Required Equipment/AT,Required Equipment/AT,Required Equipment/AT,Required Equipment/AT,Academic Interventions
Class Period,Student,Check for Understanding,Clarify/Reword Vocabulary,Extra Time for Oral/Written Responses,Request for Assistance Note Card,Shortened Instructions,Simplified Directions,Copy of Notes (Hard/Electronic),Note Taking Assistance,Supplemental Aids,Supplemental Aids: Blank Graphic Organizers,Supplemental Aids: Graphics & Pictorial Models,Supplemental Aids: Mnemonic Devices,Break Down Assignments,Extra Time for Assignments,No Penalty for Spelling Errors,Oral Test Administration,Reduced Assignments,Small-Group Test,CBAâ€™s Cannot Cause Failure,Retest if <70,Allow Short Breaks,Behavior Coach Support - Level 3,Clearly Defined Limits,Cool Off Period,Follow Behavior Intervention Plan,No Contact Sports (Medical),Positive reinforcement,Preferential Seating,Private Discussion,Reminders to Stay on Task,Sit Near Instructor,Spelling Assistance,Spelling Assistance: Speech-to-Text Software,Text-to-Speech Technology,Word Processor,Gator Time
1,AG,,X,,,,X,X,X,X,,,,,,,X,X,X,,,,,,X,,,,,X,,X,,,,,
1,AL,,X,,,,X,X,X,,X,,X,X,X,,X,,X,X,X,,,,,,X,,,,,,X,,,,
1,AP,,X,,,X,X,X,X,,X,X,X,,X,X,X,,X,,,,,,,,,,,,,,X,,,X,
1,AW,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,X
1,CA,,X,X,,,X,X,X,,,,,,,,X,,X,X,X,,X,,,X,,X,,X,X,,X,X,,,
1,DT-V,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,X,,,,X,,X
1,EP,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,X,,,,X,,
1,JB,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,X,X,,,,,,
1,JG,,X,,,X,X,X,X,,X,X,X,X,X,,X,,,X,X,X,,,,,,,X,,X,,X,X,,,
1,KG,X,,,,X,X,X,X,,,,,,X,,X,,,X,X,,,,,X,,,,,X,X,X,,,,
1,KS,,X,,X,,,X,X,,X,X,X,X,,,X,,X,X,X,,,,,,,X,,,X,,,,,,
1,KT,X,X,,,,X,,X,,,,X,X,X,,X,,X,,,,,,,,,,,,,,X,,,,
